att,pvalue,ncovars,sharebal,pctimprov
0.9417,0,98,0.6768,-19.1643
0.9222,0,15,0.9375,-68.9925
1.0723,0,78,0.6582,21.953
0.8923,0,80,0.5802,-56.7595
1.1002,0,42,0.6744,45.0975
1.2228,0,11,0.9167,60.0339
1.1175,0,81,0.5488,-7.6531
0.8698,0,91,0.4565,-56.7
1.0217,0,23,0.75,49.0337
0.8584,0,46,0.7234,-27.0932
0.7933,0.3195,1,1,100
1.1474,0,39,0.825,-31.5534
0.9795,0,14,0.6667,53.9313
0.7991,0,92,0.5054,-39.0277
0.9113,0,102,0.6019,-4.3277
0.7333,0,27,0.8214,28.2501
1.0896,0,41,0.8571,61.6254
0.8097,0,99,0.55,-29.7709
0.9306,0,83,0.5476,-52.0779
0.9656,0,42,0.7209,6.8568
1.1989,0,9,1,78.6222
1.2847,0,9,1,80.5802
0.991,0,35,0.8611,21.752
0.8604,0,90,0.6264,-2.0195
1.0118,0,43,0.6818,11.3156
0.8904,0,73,0.6892,10.2885
1.2268,0,34,0.7714,-46.0595
1.0673,0,30,1,75.7409
1.219,0,32,0.7273,-22.3516
1.1391,0,39,0.6,-2.1208
0.8099,0,87,0.5795,-64.2331
1.1159,0,71,0.6389,-23.7736
0.8785,0,103,0.5385,-9.2305
1.0755,0,28,0.8276,35.9929
0.9232,0,74,0.6533,9.303
1.1226,0,35,0.7778,14.8134
0.987,0,91,0.6739,-10.1478
1.2542,0,7,1,68.0525
1.1117,0.0893,1,1,100
0.8487,0,78,0.4177,-32.2418
0.8138,0,36,0.8649,13.2013
0.9195,0,72,0.6027,-86.276
0.8711,0,92,0.5591,-53.9165
0.7589,0,78,0.6582,-32.4936
1.1631,0,41,0.7381,-10.0223
1.1492,0,25,0.8462,20.5017
0.92,0,75,0.6842,-6.0425
1.0447,0,37,0.6579,17.0917
0.9336,0,95,0.5625,-51.7679
1.0632,0,14,0.8,21.408
0.7665,0,59,0.65,-69.8516
0.948,0,94,0.5684,-52.0692
1.2317,0,8,1,94.4874
0.8451,0,88,0.573,-8.5019
1.1548,0,53,0.537,21.9793
0.8311,0,102,0.6019,-25.3931
0.884,0,102,0.6311,-31.251
0.8386,0,86,0.5747,-29.9029
0.9364,0,97,0.4082,-58.5956
1.2582,0,6,1,90.3124
1.2153,0,6,0.8571,37.6095
0.8168,0,38,0.5128,-136.1654
1.0027,0,51,0.7308,2.2578
1.1146,0,25,0.9231,69.056
0.9224,0,55,0.5714,-56.0386
0.9049,0,33,0.8235,64.2112
0.8583,0,108,0.5321,-45.931
1.1203,0,3,1,57.6356
0.7272,0,77,0.6667,-21.3803
1.2382,0,9,0.9,76.0728
0.8604,0,57,0.7241,-3.5547
1.1374,0,15,0.6875,9.4445
0.8648,0,77,0.5128,-79.0462
0.7877,0,74,0.68,3.8657
1.1833,0,31,0.75,58.3395
0.9611,0,92,0.5161,-12.5403
1.0754,0,19,0.95,12.9688
0.9772,0.0171,2,1,93.0185
0.8622,0,102,0.6311,-22.0969
0.9359,0,72,0.726,-9.9367
0.8251,0,95,0.4375,-62.5918
0.9033,0,84,0.6471,-11.9443
0.9123,0,62,0.6032,12.8552
0.9112,0,46,0.5106,-119.7243
0.8667,0,96,0.5361,6.8273
0.9899,0,68,0.7246,15.2925
1.1432,0,85,0.6395,-30.0773
1.1549,0,22,0.9565,-42.3915
1.3443,0,4,1,79.1038
0.84,0,107,0.4907,-51.7738
0.8939,0,80,0.6543,-12.9223
0.9629,0,70,0.7042,7.972
0.8499,0,77,0.5641,-14.9645
0.8352,0,39,0.775,51.202
1.1254,0,27,0.75,7.7759
1.2343,0,14,0.8667,-52.9049
0.8778,0,109,0.5,-53.631
1.1728,0,25,0.8462,31.5917
0.8348,0,58,0.6441,-5.9641
1.3253,0,8,0.7778,-20.429
